Total path distance: 2653775.73 meters

Vertex Coordinates (Pixel, Global):
Pixel: (216, 795) -> Global: (67.608241, 21.666621)
Pixel: (215, 794) -> Global: (67.586842, 21.678911)
Pixel: (214, 794) -> Global: (67.586842, 21.691201)
Pixel: (213, 794) -> Global: (67.586842, 21.703491)
Pixel: (212, 794) -> Global: (67.586842, 21.715781)
Pixel: (211, 794) -> Global: (67.586842, 21.728071)
Pixel: (210, 794) -> Global: (67.586842, 21.740361)
Pixel: (209, 794) -> Global: (67.586842, 21.752651)
Pixel: (208, 794) -> Global: (67.586842, 21.764941)
Pixel: (207, 794) -> Global: (67.586842, 21.777230)
Pixel: (206, 794) -> Global: (67.586842, 21.789520)
Pixel: (205, 794) -> Global: (67.586842, 21.801810)
Pixel: (204, 794) -> Global: (67.586842, 21.814100)
Pixel: (203, 794) -> Global: (67.586842, 21.826390)
Pixel: (202, 794) -> Global: (67.586842, 21.838680)
Pixel: (201, 794) -> Global: (67.586842, 21.850970)
Pixel: (200, 794) -> Global: (67.586842, 21.863260)
Pixel: (199, 794) -> Global: (67.586842, 21.875550)
Pixel: (198, 794) -> Global: (67.586842, 21.887840)
Pixel: (197, 794) -> Global: (67.586842, 21.900130)
Pixel: (196, 793) -> Global: (67.565443, 21.912420)
Pixel: (195, 793) -> Global: (67.565443, 21.924710)
Pixel: (194, 793) -> Global: (67.565443, 21.937000)
Pixel: (193, 793) -> Global: (67.565443, 21.949289)
Pixel: (192, 793) -> Global: (67.565443, 21.961579)
Pixel: (191, 793) -> Global: (67.565443, 21.973869)
Pixel: (190, 793) -> Global: (67.565443, 21.986159)
Pixel: (189, 793) -> Global: (67.565443, 21.998449)
Pixel: (188, 792) -> Global: (67.544044, 22.010739)
Pixel: (187, 792) -> Global: (67.544044, 22.023029)
Pixel: (186, 792) -> Global: (67.544044, 22.035319)
Pixel: (185, 792) -> Global: (67.544044, 22.047609)
Pixel: (184, 792) -> Global: (67.544044, 22.059899)
Pixel: (183, 792) -> Global: (67.544044, 22.072189)
Pixel: (182, 792) -> Global: (67.544044, 22.084479)
Pixel: (181, 792) -> Global: (67.544044, 22.096769)
Pixel: (180, 792) -> Global: (67.544044, 22.109058)
Pixel: (179, 792) -> Global: (67.544044, 22.121348)
Pixel: (178, 792) -> Global: (67.544044, 22.133638)
Pixel: (177, 792) -> Global: (67.544044, 22.145928)
Pixel: (176, 792) -> Global: (67.544044, 22.158218)
Pixel: (175, 792) -> Global: (67.544044, 22.170508)
Pixel: (174, 792) -> Global: (67.544044, 22.182798)
Pixel: (173, 792) -> Global: (67.544044, 22.195088)
Pixel: (172, 792) -> Global: (67.544044, 22.207378)
Pixel: (171, 791) -> Global: (67.522646, 22.219668)
Pixel: (170, 790) -> Global: (67.501247, 22.231958)
Pixel: (169, 789) -> Global: (67.479848, 22.244248)
Pixel: (168, 788) -> Global: (67.458449, 22.256538)
